reply_id,parent_comment_id,author_channel_id,published_at,updated_at,reply_like_count,text,video_id,sent_compound
UgzyZCN4CExqjZBDWbx4AaABAg.AIZ9dKWGqdAAJX1ZiOY6SO,UgzyZCN4CExqjZBDWbx4AaABAg,UChINhxtawhzz1whH2uV5Oyg,2025-06-18T20:12:13Z,2025-06-18T20:12:13Z,0,He who betrays the club will always walk alone,m3cofWQwYUU,-0.6705
UgzyZCN4CExqjZBDWbx4AaABAg.AIZ9dKWGqdAAK9gnkKU6Pb,UgzyZCN4CExqjZBDWbx4AaABAg,UCrwMzKws3dejJiXsGEZWQRA,2025-07-04T15:10:54Z,2025-07-04T15:10:54Z,0,@filthy_pirate35no it’s not 😂,m3cofWQwYUU,0.6669
UgzyZCN4CExqjZBDWbx4AaABAg.AIZ9dKWGqdAAK9gqvIWVnR,UgzyZCN4CExqjZBDWbx4AaABAg,UCrwMzKws3dejJiXsGEZWQRA,2025-07-04T15:11:20Z,2025-07-04T15:11:20Z,0,@peacekeeperjfsrgood thing you weren’t betrayed mate.,m3cofWQwYUU,-0.6124
UgzyZCN4CExqjZBDWbx4AaABAg.AIZ9dKWGqdAAQ4HtM4vdpD,UgzyZCN4CExqjZBDWbx4AaABAg,UCuaMnlwDUgnLKMp6CRC01gA,2025-11-28T15:56:38Z,2025-11-28T15:56:38Z,0,I miss you Trent❤❤❤❤❤😢😢😢,m3cofWQwYUU,0.9201
UgxG8Rj5UBEDj8GaEF14AaABAg.AIZVXFwI68kAIaXtiiS83J,UgxG8Rj5UBEDj8GaEF14AaABAg,UCutSneFRpDPAGTSHmhDH7rA,2025-05-26T17:40:17Z,2025-05-26T17:40:17Z,5,Conor Bradley took that if I remember correctly,m3cofWQwYUU,0.0
UgxG8Rj5UBEDj8GaEF14AaABAg.AIZVXFwI68kAIaghVI3ur9,UgxG8Rj5UBEDj8GaEF14AaABAg,UC7U5S4BZ1czVbxREWn3NQlQ,2025-05-26T19:06:00Z,2025-05-26T19:06:00Z,13,​@calebhughes7045 Trent is and will always be a legend,m3cofWQwYUU,0.0
UgxG8Rj5UBEDj8GaEF14AaABAg.AIZVXFwI68kAIahmkcUywp,UgxG8Rj5UBEDj8GaEF14AaABAg,UCWJBruz-Yc7mH2UkHJNNHeQ,2025-05-26T19:15:27Z,2025-05-26T19:15:27Z,4,It was Origi's idea he just jumped on the train,m3cofWQwYUU,0.0
UgxG8Rj5UBEDj8GaEF14AaABAg.AIZVXFwI68kAIhTmCQTqjf,UgxG8Rj5UBEDj8GaEF14AaABAg,UCWD_k6AbHw7T1zSxlHD7dLg,2025-05-29T10:18:59Z,2025-05-29T10:18:59Z,7,@calebhughes7045 Embarrassing comment,m3cofWQwYUU,-0.3818
UgxG8Rj5UBEDj8GaEF14AaABAg.AIZVXFwI68kAIhe-l6NdHz,UgxG8Rj5UBEDj8GaEF14AaABAg,UCutSneFRpDPAGTSHmhDH7rA,2025-05-29T11:57:06Z,2025-05-29T11:57:06Z,0,@Ruben_135I’m not even a Liverpool fan I just hate the lad,m3cofWQwYUU,-0.34
UgxG8Rj5UBEDj8GaEF14AaABAg.AIZVXFwI68kAJKffrGcHMk,UgxG8Rj5UBEDj8GaEF14AaABAg,UCfhktiFg8ADtYSaO2AY4lwQ,2025-06-14T01:01:20Z,2025-06-14T01:01:20Z,0,"Naah , he is a Real Madrid guy not ours😂 He is a Xabi Alonso  not a Gerrard​@saifahmed4891",m3cofWQwYUU,0.4404
UgxG8Rj5UBEDj8GaEF14AaABAg.AIZVXFwI68kAJTTSyHTVfG,UgxG8Rj5UBEDj8GaEF14AaABAg,UC-gHuN7LPOUY1QzpOEHcnqw,2025-06-17T10:59:00Z,2025-06-17T10:59:00Z,0,Original scored,m3cofWQwYUU,0.3182
UgxG8Rj5UBEDj8GaEF14AaABAg.AIZVXFwI68kAMLiMLjlwyY,UgxG8Rj5UBEDj8GaEF14AaABAg,UC6P-G8xtqmSqtJO_ngUtRsw,2025-08-28T00:18:10Z,2025-08-28T00:18:10Z,1,"​@calebhughes7045 lol okay u see this player and start hating on him , tf u on about?",m3cofWQwYUU,0.1027
UgxG8Rj5UBEDj8GaEF14AaABAg.AIZVXFwI68kAPJ_PdN7UUj,UgxG8Rj5UBEDj8GaEF14AaABAg,UCcy773V6XLqdRYAx3INUjqA,2025-11-09T17:55:41Z,2025-11-09T17:55:41Z,0,"@calebhughes7045no, he wasn’t even at club then.",m3cofWQwYUU,0.0
Ugw8ugyhrWlzZgky9rF4AaABAg.AIZEgIdEMy_AIZWTPsayr6,Ugw8ugyhrWlzZgky9rF4AaABAg,UCjaiCxU5gTLSvX2cOeniOLQ,2025-05-25T22:49:20Z,2025-05-25T22:49:20Z,9,not booing him now?,m3cofWQwYUU,0.0
Ugw8ugyhrWlzZgky9rF4AaABAg.AIZEgIdEMy_AIZXK9_pPJx,Ugw8ugyhrWlzZgky9rF4AaABAg,UC3D-0M5JOG4Z3_d_zPicWyA,2025-05-25T22:56:49Z,2025-05-25T22:56:49Z,0,@terryfckwidifferent ppl mate,m3cofWQwYUU,0.0
