video_id,comment_id,author_channel_id,published_at,updated_at,like_count,reply_count,text,sent_compound
cZuKoVpIc9E,UgxsNvCFoUr1ZW6-NU54AaABAg,UCNG5eM7BrapM3Vt7otLYg0w,2025-11-10T15:52:05Z,2025-11-10T15:52:05Z,0,0,Doku was insane this game,-0.4019
cZuKoVpIc9E,UgyA6vpn8lwl34QKUmF4AaABAg,UC2W7-zKkULJ2TTYG2dv8wKg,2025-11-10T08:25:04Z,2025-11-10T08:26:12Z,3,1,"Wirtz fits better in Pep’s tactics. Possession, more freedom, technique, getting between the lines. At least they got Cherki for cheaper hehe",0.8122
cZuKoVpIc9E,UgwS87exyWwBlHoAq5V4AaABAg,UCqZiNmq6YlTDSCxFabHQ6yg,2025-11-10T17:37:18Z,2025-11-10T17:37:18Z,0,0,Doku unstoppable!,-0.2714
cZuKoVpIc9E,UgxaUrjNx4aTBHIE_Ip4AaABAg,UC_jmOga0aS9wyUXo2ub-GIw,2025-11-09T20:06:28Z,2025-11-09T20:06:28Z,7,0,Konate is the worse defender in the league 😂😂,0.4767
cZuKoVpIc9E,UgwDTBdPyVtY2awxG5V4AaABAg,UCpA-Jv2n6eUa_pBCvzYjrIQ,2025-11-11T05:17:41Z,2025-11-11T05:17:41Z,0,0,Konate didn't jump at all when trying to flick the ball for the first goal. He's barely off the ground.,0.0
cZuKoVpIc9E,UgyOUgEnals26onh9_l4AaABAg,UCTFq7a88OujgwGr9HM9a8Mw,2025-11-09T20:06:13Z,2025-11-09T20:06:13Z,6,0,Arsenal will never get that early penalty,-0.4588
cZuKoVpIc9E,UgzX89bY6u7VlBysz-p4AaABAg,UCAVVlPAtLWuOvq9DaqSza8A,2025-11-10T12:07:02Z,2025-11-10T12:07:02Z,0,0,slot has made no change to the defending it shows this season everyone is getting pass or defenders this is stupid fire this dude,-0.7717
cZuKoVpIc9E,UgwID3BLgegFM9umqah4AaABAg,UCnTN-JYWFL886bjy7-XaPfQ,2025-11-09T19:33:01Z,2025-11-09T19:33:01Z,45,6,Doku is the best winger in the prem,0.6369
cZuKoVpIc9E,UgynYM41ju4EN0An0vR4AaABAg,UC8sd4r02jL8QlK0yn6eLHoQ,2025-11-10T00:46:21Z,2025-11-10T00:46:21Z,1,0,Doku's leg dangling move is like dangling a piece of candy in front of a kid: if you look you lose.,-0.0516
cZuKoVpIc9E,Ugx4t7u05BIr7HcTpGV4AaABAg,UCLfLR2yoJCmg_LByLqsLifQ,2025-11-09T21:11:30Z,2025-11-09T21:11:30Z,6,2,"Huge game for the PL, huge result for City.  Ironic that Haaland missed his penalty ... but then still went on to score a goal.",-0.1406
cZuKoVpIc9E,UgzSNIwG6x9i5XrLh7h4AaABAg,UC9ISokag9ZrPu_KzUyuC7rA,2025-11-10T02:34:14Z,2025-11-10T02:34:14Z,0,0,"Number 11  DOKU , beast mode 😎actividade",0.5106
cZuKoVpIc9E,Ugwy0vuHdusoOEuEu6l4AaABAg,UCWLYiMxSGv10taQg6FLHVKg,2025-11-09T19:53:09Z,2025-11-09T19:53:09Z,24,3,"How is it only the VAR officials saw Robbo as being offsides?  You have video and they still can't get it right.  Every time I see something like this, it just looks crooked and makes the Premier League look bad.",-0.25
cZuKoVpIc9E,Ugw3u6CowIkp0VVtu1t4AaABAg,UCJOvC4D-ZcI2kI3rzFnVg_g,2025-11-12T20:57:27Z,2025-11-12T20:57:27Z,0,0,The foden pass was beautiful,0.5994
cZuKoVpIc9E,UgwFrZsJUK67fCSN7rp4AaABAg,UCzrP-uV5rhzDmhO2Qk23nKQ,2025-11-09T19:52:07Z,2025-11-09T19:52:07Z,7,1,I was hoping for draw😂,0.6908
cZuKoVpIc9E,Ugy-vRjA4wRiN6Rhr7N4AaABAg,UCRDqYpCq2TbVvbltODnAcpQ,2025-11-10T00:27:52Z,2025-11-10T00:27:52Z,0,0,Jeremy doku had fantastic amazing goal. No more words,0.7351
cZuKoVpIc9E,UgySaRApFrgcWwQQG8d4AaABAg,UCn3CQTe9fsYfb0eYCHx1R_w,2025-11-09T22:20:40Z,2025-11-09T22:20:40Z,3,1,Where the billion dollar isak? Liverpools bench is the most expensive bench in football history,0.0
cZuKoVpIc9E,UgwRS8MLNtJW0MISfc94AaABAg,UC4JBEEcOkg_fTvJU3yqAKeg,2025-11-10T19:11:35Z,2025-11-10T19:11:35Z,0,0,That offside on Liverpool has me confused like how???,0.1877
cZuKoVpIc9E,UgzD2BJBFY1H1Z-tBtd4AaABAg,UCABBWBMVk3b38RivpF4hUFw,2025-11-09T20:33:26Z,2025-11-09T20:33:26Z,3,1,"Feel bad for Van Dijk, goal gets ruled offside in the worst way then gets an own goal off an unlucky deflection 😭",-0.8934
cZuKoVpIc9E,Ugzs9jbv6B8T6gChJvt4AaABAg,UC_EiS9cSwuPLtlGodZFBrLQ,2025-11-10T01:32:13Z,2025-11-10T01:32:13Z,0,0,Bradley was absolutely on toast today!,0.0
cZuKoVpIc9E,Ugxb-xAXbMMdjMevuMN4AaABAg,UCeHOBPaHQVLO35boJtsEA5Q,2025-11-09T20:16:21Z,2025-11-09T20:16:21Z,16,4,Don't understand how Van Dijk's goal was disallowed. Robertson wasn't in the keeper's line of sight.,0.0
cZuKoVpIc9E,Ugw_FkrHFSFQKaDYH3x4AaABAg,UC_UEaJndWk0lW42qfGCHmgw,2025-11-10T03:27:42Z,2025-11-10T03:27:42Z,0,0,Doku goal was nice. Unlucky Liverpool.,0.4215
cZuKoVpIc9E,UgyqbeQtiUSI1Sjxxv94AaABAg,UChJm2hjqQumfr1bsFiegYZg,2025-11-09T20:47:29Z,2025-11-09T20:47:29Z,11,1,Var decision for a penalty. that is just insane call. Slow motion makes everything look more dramatic btw.,-0.6908
cZuKoVpIc9E,UgxtoQdF_f_zJOurRSB4AaABAg,UCCXujwDnVAH1Kk6F8FrUzNA,2025-11-10T15:15:37Z,2025-11-10T15:15:37Z,0,0,Doku dribbles like a drunken karate master.,0.3612
cZuKoVpIc9E,UgwIXPUiuBkQzfaIz8R4AaABAg,UCXtUYGrscSzH-cRvOJOWH0Q,2025-11-09T19:59:21Z,2025-11-10T01:01:58Z,10,1,"Shoutout to Nico, beautiful passes. Amazing development, TOP PLAYER

Edit: I meant Nico Gonzalo hahah",0.8816
cZuKoVpIc9E,Ugw6UxTqxI_1pmKRpEZ4AaABAg,UCAVQcfxh0WalNb-KQQa52AQ,2025-11-09T20:14:26Z,2025-11-09T20:14:26Z,1,0,The passes before the city first goal it was something else Nico Gonzalez was something else in this game,0.0
cZuKoVpIc9E,UgxIloyUoZEdfIsgLX54AaABAg,UCgNngwmJ8ecMpQmBC8Pc0lg,2025-11-09T20:01:13Z,2025-11-09T20:01:13Z,36,16,What was the difference between Liverpool’s’ offside goal and the one Manchester City’s goal scored against Wolves?,0.0
cZuKoVpIc9E,UgzswnO0b6Ert2xtb0l4AaABAg,UCms-VoDsABiLEbfcL9Si8Vg,2025-11-09T23:02:24Z,2025-11-09T23:02:24Z,0,0,"Doku body shift before his dribble has defenders in deep thought , they can't keep up.",0.0772
cZuKoVpIc9E,Ugxn3BzGoxkJMvZ_EmN4AaABAg,UCgflqqXWgUWfM9anS-wOa_Q,2025-11-09T22:44:38Z,2025-11-09T22:44:38Z,3,1,If Liverpool goal is disallowed then Doku should be as well. Haaland is in front of keeper. Stupid inconsistent rules. FYI I support neither.,0.4466
cZuKoVpIc9E,Ugzsm4o006jZbgTCsmB4AaABAg,UCtwrs5LM7TNa0yQiRiS0pIQ,2025-11-09T23:49:19Z,2025-11-09T23:49:19Z,0,0,Doku is almost Ronaldinho 😅,0.3008
cZuKoVpIc9E,UgxQTYIyAZqNVvkuV5J4AaABAg,UCvPdiYrISZ_vI-sdtl85eug,2025-11-09T19:36:19Z,2025-11-09T19:37:05Z,57,0,Hit the like button for Doku what a player,0.3612
cZuKoVpIc9E,UgzproVl1r1nqu3QzW14AaABAg,UCrVHm3zavKlI_Gzy36L3Pqg,2025-11-10T01:19:18Z,2025-11-10T01:19:18Z,0,0,Did not know Doku could bend it like Sonny,0.3612
